Date,Unrate,interbank_rates,cpi,mortgage_interest_rate,HouseIndex_victoria,HouseIndex_vancouver,HouseIndex_montreal,personal_savings_rate
01-91,9.8,11.366,67.09815173,12.13,45.79,54.37,57.52,9.3
02-91,10.2,10.52,67.09815173,11.58,46.01,52.6,57.41,8.8
03-91,10.5,9.9575,67.4984987,11.45,46.19,53.07,57.67,8
04-91,10.3,9.7075,67.57856809,11.27,46.94,54.05,58.23,8.6
05-91,10.2,9.198,67.89884567,11.23,47.58,55.02,58.77,8.4
06-91,10.5,8.8325,68.13905385,11.24,48.64,55.81,58.6,8.9
07-91,10.5,8.76,68.13905385,11.31,49.56,56.6,58.48,8.2
08-91,10.5,8.7225,68.13905385,11.47,50.08,57.33,57.9,8.6
09-91,10.3,8.59,68.21912324,11.38,50.55,57.87,57.72,8.8
10-91,10.3,8.366,68.37926203,10.84,51,57.81,57.83,9.3
11-91,10.4,7.8475,68.45933142,10.14,51.9,57.94,58.03,9
12-91,10.3,7.455,68.21912324,9.84,52.57,58.25,57.79,9.7
01-92,10.4,7.31,68.77960899,9.71,53.31,58.82,57.49,9.4
02-92,10.5,7.2525,68.77960899,9.68,53.6,59.31,57.7,9.8
03-92,10.9,7.54,68.85967839,10.06,54.1,59.77,58.21,9.7
04-92,10.7,7.118,68.85967839,10.37,54.38,60.47,58.52,9.9
05-92,10.9,6.6175,68.93974778,10.14,54.81,60.99,58.39,9.9
06-92,11.4,6.0325,69.09988657,9.72,54.91,61.5,58.15,10.1
07-92,11.3,5.574,69.34009475,9.26,55.38,61.83,57.55,9.6
08-92,11.7,5.1725,69.34009475,8.72,55.67,62.34,57.29,9.7
09-92,11.6,5.038,69.34009475,8.54,56.29,62.72,57.15,8.7
10-92,11.4,7.6375,69.58030293,9.23,56.55,63.37,57.13,8
11-92,12.1,6.9325,69.82051111,9.33,57.14,63.94,57.17,8
12-92,11.7,7.9,69.82051111,9.48,57.69,64.59,56.67,10.6
01-93,11.2,6.9925,70.14078868,9.47,57.91,65.14,57.01,8.6
02-93,11,6.395,70.22085808,9.44,58.38,65.55,56.93,8.9
03-93,11.2,5.61,70.22085808,8.97,58.57,66.23,57.47,8.9
04-93,11.6,5.275,70.14078868,8.89,59.51,66.94,57.56,8.7
05-93,11.6,5.325,70.14078868,8.88,60.02,67.43,57.9,8.3
06-93,11.7,4.88,70.14078868,8.86,60.58,67.89,58.04,7.8
07-93,11.6,4.4725,70.06071929,8.68,60.43,67.98,57.81,7.6
08-93,11.2,4.3075,69.9806499,8.58,60,68.37,57.26,7.7
09-93,11.5,4.786,70.14078868,8.57,59.94,68.43,56.94,6.9
10-93,11.3,4.7375,70.06071929,8.55,60.21,68.5,56.78,6.3
11-93,11.2,4.3625,70.70127444,7.84,60.42,68.55,57.04,6.3
12-93,11.4,4.092,70.54113565,7.71,60.53,68.63,57.15,9.1
01-94,11.4,3.8725,70.46106626,7.33,61.1,68.8,57.65,7.1
02-94,11.1,3.805,69.09988657,7.2,61.66,69.18,57.87,6.5
03-94,10.6,4.206,69.09988657,7.89,62.4,69.64,58.31,6.8
04-94,10.9,5.8875,69.09988657,9.43,62.46,70.05,58.45,6.4
05-94,10.7,6.285,68.61947021,9.48,62.54,70.29,58.61,7.6
06-94,10.3,6.394,69.01981717,9.8,62.44,70.45,58.24,6.9
07-94,10.1,6.3625,69.01981717,10.69,62.31,70.6,57.85,7
08-94,10.2,5.68,69.09988657,10.33,62.5,70.71,57.25,6.5
09-94,10.1,5.6425,69.01981717,10.01,62.17,70.72,57.08,6.8
10-94,10,5.44,68.85967839,9.84,62.06,71.03,56.62,7.1
11-94,9.7,5.68,69.34009475,9.85,61.29,70.95,56.56,7
12-94,9.6,6.5975,69.34009475,10.25,61.67,71.13,56.25,7.2
01-95,9.6,7.838,69.66037232,10.6,61.49,70.91,56.41,7.5
02-95,9.6,8.118,69.9806499,10.48,61.68,70.96,56.41,7.8
03-95,9.7,8.314782609,69.9806499,9.93,60.79,70.92,56.82,7.5
04-95,9.5,8.148421053,70.46106626,9.66,60.43,70.9,56.99,6.9
05-95,9.5,7.561363636,70.62120504,8.98,59.93,70.7,57.33,7.1
06-95,9.5,7.047727273,70.54113565,8.67,59.98,70.42,57.2,6.7
07-95,9.6,6.666,70.70127444,8.54,59.85,70.02,56.93,7.1
08-95,9.5,6.586818182,70.46106626,8.94,60.2,70.05,56.37,6.7
09-95,9.2,6.6875,70.62120504,8.95,59.87,69.98,56.02,6.8
10-95,9.3,6.697619048,70.54113565,8.75,59.53,69.92,55.75,7.1
11-95,9.2,6.008095238,70.70127444,8.66,60.19,69.91,55.72,6.6
12-95,9.4,5.895263158,70.70127444,8.46,60.29,69.64,55.62,6.1
01-96,9.4,5.546818182,70.70127444,8.02,60.47,69.52,55.57,6.7
02-96,9.5,5.222857143,71.02155201,7.79,59.65,69.33,55.64,6.7
03-96,9.6,5.214761905,71.1816908,8.16,59.87,69.51,55.81,6.6
04-96,9.3,5.008571429,71.50196837,8.48,59.57,69.78,56.31,5.7
05-96,9.2,4.809090909,71.74217655,8.47,59.82,69.88,56.69,6.7
06-96,9.8,4.849,71.74217655,8.48,59.49,69.98,56.8,7.1
07-96,9.7,4.732727273,71.66210716,8.48,59.86,70.01,56.46,6.7
08-96,9.4,4.267619048,71.66210716,8.01,59.75,70.07,55.94,6.6
09-96,9.9,4.0785,71.66210716,7.94,60.03,69.87,55.54,6.7
10-96,9.9,3.516818182,71.90231534,7.5,60.01,69.8,55.47,6.4
11-96,9.9,3.0195,72.22259291,7.01,60.03,69.71,55.51,6.4
12-96,9.7,3.1225,71.90231534,6.94,59.99,69.92,55.82,6.4
01-97,9.5,3.152727273,72.06245413,7.14,60.25,69.78,55.95,6.2
02-97,9.5,3.116,72.30266231,7.12,60.59,69.91,56.21,6.2
03-97,9.3,3.2175,72.30266231,7.06,60.55,69.92,56.5,6.4
04-97,9.4,3.460454545,72.46280109,7.56,60.58,70.18,56.87,6.5
05-97,9.4,3.321904762,72.62293988,7.46,60.33,70.35,57.1,6.8
06-97,9.1,3.265238095,72.86314806,7.22,60.74,70.32,56.9,6.6
07-97,8.9,3.531818182,72.62293988,6.98,60.92,70.42,56.57,6.1
08-97,8.9,3.638,72.86314806,7,60.96,70.29,56.1,6
09-97,8.8,3.626666667,72.62293988,6.96,60.67,70.5,56.15,6.2
10-97,8.9,3.799545455,72.70300927,6.73,60.29,70.29,56.16,6.2
11-97,8.9,3.994736842,72.70300927,6.69,60.36,69.88,56.6,6.4
12-97,8.5,4.567142857,72.62293988,6.9,60.32,69.58,56.59,6.4
01-98,8.8,4.651904762,73.50370321,6.9,60.96,69.27,56.75,7.4
02-98,8.6,4.9775,73.50370321,6.84,60.75,69.36,56.65,7.4
03-98,8.4,4.874090909,73.42363382,6.84,61.05,69.25,56.9,7.5
04-98,8.3,4.898095238,73.50370321,6.79,60.42,69.1,57.27,7.2
05-98,8.3,5.02,73.82398078,6.92,60.62,68.94,57.7,6.9
06-98,8.4,5.016818182,73.90405018,6.9,60.52,68.71,57.99,6.8
07-98,8.3,5.051363636,73.74391139,6.9,60.85,68.54,57.95,6.9
08-98,8.1,5.3055,73.82398078,7.08,60.43,68.29,58,6.8
09-98,8.2,5.60047619,73.5837726,7.32,59.97,67.93,57.96,6.4
10-98,8,5.275238095,73.82398078,6.73,59.67,67.58,58.07,6.2
11-98,8,5.147,73.98411957,6.94,59.83,67.35,58.02,6.3
12-98,8.1,5.002857143,73.74391139,6.69,60.04,66.89,58.41,5.8
01-99,7.9,5.0045,73.90405018,6.79,60.13,66.6,58.49,6.3
